"","Species","TREE_ID","X","Y","Year","logF_current"
"1","Abies concolor","50120_2_89_6_1_100",40.492307,-121.582979,2007,6.22763988487147
"2","Abies concolor","50120_2_89_6_1_100",40.492307,-121.582979,2017,4.76191006482921
"3","Abies concolor","50139_5_51_6_1_504",38.03017,-119.243677,2009,5.24259032394473
"4","Abies concolor","50139_5_51_6_1_504",38.03017,-119.243677,2019,4.96859134086254
"5","Abies concolor","50139_5_51_6_1_505",38.03017,-119.243677,2009,5.24173833294473
"6","Abies concolor","50139_5_51_6_1_505",38.03017,-119.243677,2019,4.96767639486254
"7","Abies concolor","50139_5_51_6_2_522",38.03017,-119.243677,2009,5.24145293694473
"8","Abies concolor","50139_5_51_6_2_522",38.03017,-119.243677,2019,4.96739099886254
"9","Abies concolor","50139_5_51_6_2_526",38.03017,-119.243677,2009,5.24273721894473
"10","Abies concolor","50139_5_51_6_2_526",38.03017,-119.243677,2019,4.96871305386254
"11","Abies concolor","50139_5_51_6_2_527",38.03017,-119.243677,2009,5.24132282994473
"12","Abies concolor","50139_5_51_6_2_527",38.03017,-119.243677,2019,4.96726089186254
"13","Abies concolor","50139_5_51_6_3_555",38.03017,-119.243677,2009,5.24257773294473
"14","Abies concolor","50139_5_51_6_3_555",38.03017,-119.243677,2019,4.96857035586254
"15","Abies concolor","50139_5_51_6_3_557",38.03017,-119.243677,2009,5.24127666294473
"16","Abies concolor","50139_5_51_6_3_557",38.03017,-119.243677,2019,4.96729866486254
"17","Abies concolor","50139_5_51_6_4_570",38.03017,-119.243677,2009,5.24274980994473
"18","Abies concolor","50139_5_51_6_4_570",38.03017,-119.243677,2019,4.96874662986254
"19","Abies concolor","50139_5_51_6_4_571",38.03017,-119.243677,2009,5.24167957494473
"20","Abies concolor","50139_5_51_6_4_571",38.03017,-119.243677,2019,4.96768478886254
"21","Abies concolor","50139_5_51_6_4_572",38.03017,-119.243677,2009,5.24157464994473
"22","Abies concolor","50139_5_51_6_4_572",38.03017,-119.243677,2019,4.96760084886254
"23","Abies concolor","50139_5_51_6_4_577",38.03017,-119.243677,2009,5.24194818294473
"24","Abies concolor","50139_5_51_6_4_577",38.03017,-119.243677,2019,4.96803313986254
"25","Abies concolor","50139_5_51_6_4_578",38.03017,-119.243677,2009,5.24177190894473
"26","Abies concolor","50139_5_51_6_4_578",38.03017,-119.243677,2019,4.96779810786254
"27","Abies concolor","50167_3_91_6_3_369",39.576549,-120.787907,2009,5.15121367363351
"28","Abies concolor","50167_3_91_6_3_369",39.576549,-120.787907,2019,5.26658965041885
