"","Species","TREE_ID","X","Y","Year","logF_current"
"1","Quercus chrysolepis","50006_2_89_6_3_2",40.656529,-122.605474,2010,2.2918297668793
"2","Quercus chrysolepis","50006_2_89_6_3_2",40.656529,-122.605474,2020,3.39012624508739
"3","Quercus chrysolepis","50006_2_89_6_3_4",40.656529,-122.605474,2010,2.3302009668793
"4","Quercus chrysolepis","50006_2_89_6_3_4",40.656529,-122.605474,2020,3.4476830450874
"5","Quercus chrysolepis","50055_2_93_6_1_300",41.519176,-123.00123,2007,5.35535987635373
"6","Quercus chrysolepis","50055_2_93_6_1_300",41.519176,-123.00123,2017,1.78528407053619
"7","Quercus chrysolepis","50055_2_93_6_1_301",41.519176,-123.00123,2007,5.43210227635373
"8","Quercus chrysolepis","50055_2_93_6_1_301",41.519176,-123.00123,2017,1.90039767053619
"9","Quercus chrysolepis","50055_2_93_6_1_302",41.519176,-123.00123,2007,5.37454547635373
"10","Quercus chrysolepis","50055_2_93_6_1_302",41.519176,-123.00123,2017,1.75650567053619
"11","Quercus chrysolepis","50055_2_93_6_1_303",41.519176,-123.00123,2007,5.42250947635373
"12","Quercus chrysolepis","50055_2_93_6_1_303",41.519176,-123.00123,2017,1.77569127053619
"13","Quercus kelloggii","50055_2_93_6_2_304",41.519176,-123.00123,2007,1.85515981386601
"14","Quercus kelloggii","50055_2_93_6_2_304",41.519176,-123.00123,2017,1.66775321120499
"15","Quercus kelloggii","50055_2_93_6_2_305",41.519176,-123.00123,2007,2.00557381386601
"16","Quercus kelloggii","50055_2_93_6_2_305",41.519176,-123.00123,2017,1.85918921120499
"17","Quercus chrysolepis","50055_2_93_6_2_306",41.519176,-123.00123,2007,5.75825747635373
"18","Quercus chrysolepis","50055_2_93_6_2_306",41.519176,-123.00123,2017,2.24573847053619
"19","Quercus chrysolepis","50055_2_93_6_2_307",41.519176,-123.00123,2007,5.89255667635373
"20","Quercus chrysolepis","50055_2_93_6_2_307",41.519176,-123.00123,2017,2.41840887053619
"21","Quercus chrysolepis","50055_2_93_6_2_308",41.519176,-123.00123,2007,5.54721587635373
"22","Quercus chrysolepis","50055_2_93_6_2_308",41.519176,-123.00123,2017,2.05388247053619
"23","Quercus chrysolepis","50055_2_93_6_2_309",41.519176,-123.00123,2007,5.55680867635373
"24","Quercus chrysolepis","50055_2_93_6_2_309",41.519176,-123.00123,2017,2.20736727053619
"25","Quercus chrysolepis","50055_2_93_6_2_310",41.519176,-123.00123,2007,5.53762307635373
"26","Quercus chrysolepis","50055_2_93_6_2_310",41.519176,-123.00123,2017,1.97714007053619
"27","Quercus kelloggii","50055_2_93_6_3_318",41.519176,-123.00123,2007,1.88250781386601
"28","Quercus kelloggii","50055_2_93_6_3_318",41.519176,-123.00123,2017,1.85918921120499
"29","Quercus chrysolepis","50055_2_93_6_3_319",41.519176,-123.00123,2007,5.36495267635373
"30","Quercus chrysolepis","50055_2_93_6_3_319",41.519176,-123.00123,2017,1.74691287053619
"31","Quercus chrysolepis","50055_2_93_6_3_320",41.519176,-123.00123,2007,5.34576707635373
"32","Quercus chrysolepis","50055_2_93_6_3_320",41.519176,-123.00123,2017,1.72772727053619
"33","Quercus chrysolepis","50055_2_93_6_3_321",41.519176,-123.00123,2007,5.37454547635373
"34","Quercus chrysolepis","50055_2_93_6_3_321",41.519176,-123.00123,2017,1.77569127053619
"35","Quercus chrysolepis","50055_2_93_6_3_322",41.519176,-123.00123,2007,5.34576707635373
"36","Quercus chrysolepis","50055_2_93_6_3_322",41.519176,-123.00123,2017,1.72772727053619
"37","Quercus chrysolepis","50055_2_93_6_3_323",41.519176,-123.00123,2007,5.32658147635373
